position,title,snippet,link,displayed_link,highlighs
88,Ninjamonkey,KesariDhwaj @hukum2082 @larsentoubro We could also look at leveraging the older BARAK-1 batteries as they come off the ships.,https://twitter.com/Aryan_warlord/status/1314980414369398785,https://twitter.com › Aryan_warlord › status,
89,vascsc,"Log in · Sign up. Conversation. VASCSC · @vascsc · @larsentoubro · @DSurkar · @AIFoundation · @vascscisme · @VASCSC_ScShop · 7:15 AM · Dec 22, ...",https://twitter.com/vascsc/status/1738095905130324195,https://twitter.com › vascsc › status,['larsentoubro']
90,ET NOW,"L&T in focus | ACWA Power awards co engineering, procurement, & construction contract for Al Kahfah solar plant. @larsentoubro.",https://twitter.com/ETNOWlive/status/1760223358061621488,https://twitter.com › ETNOWlive › status,['larsentoubro']
91,AWS Partner Network,"... optimal sustainability. ⏰ Save your spot: https://go.aws/46pYdtN · @DellTech · @CapgeminiIndia · @larsentoubro. Image. 8:01 PM · Oct 2, 2023. ·. 1,209.",https://twitter.com/AWS_Partners/status/1708935135419044255,https://twitter.com › AWS_Partners › status,['larsentoubro']
92,Amit Biswas (@biswas_amit) / X,"@larsentoubro. ·. Sep 15, 2022. On the occasion of #EngineersDay, L&T pays tribute to the spirit of engineering in each one of us. #CelebratingEngineers.",https://twitter.com/biswas_amit,https://twitter.com › biswas_amit,['larsentoubro']
93,ETEnergyWorld,@larsentoubro. | #LTGreenHydrogenPlant #ElectrolyserManufacturing #SustainableEnergySolutions #DomesticProduction #GujaratExpansion · L&T ...,https://twitter.com/ETEnergyWorld/status/1763538318636036147,https://twitter.com › ETEnergyWorld › status,['larsentoubro']
94,SpokespersonNavy,... ) was the Chief Guest. He also laid the keel for the 7th ASW SWC ship. #AatmaNirbharBharat · @OfficialGRSE · @larsentoubro. Image.,https://twitter.com/indiannavy/status/1668625010423103488,https://twitter.com › indiannavy › status,['larsentoubro']
95,CNBC-TV18,"@larsentoubro. reports a 15.5% YoY increase in net profit at ₹2,947.4 crore in #Q3FY24, as compared to a CNBC-TV18 poll of ₹3,309 crore ...",https://twitter.com/CNBCTV18News/status/1752325551413760489,https://twitter.com › status,['larsentoubro']
96,"It was nice meeting Mr Rahul Sikka, VP & Head, Africa","@larsentoubro. and his team; L&T is doing several projects in Tanzania in water, power and other sectors. Image. India in Tanzania and 5 others.",https://twitter.com/binaysrikant76/status/1491772502057623561,https://twitter.com › binaysrikant76 › status,['larsentoubro']
97,K-RIDE,"@RailMinIndia · @AshwiniVaishnaw · @MBPatil · @SWRRLY · @KfW_FZ_int · @larsentoubro. Embedded video. 0:17. 1:16 PM · Feb 5, 2024. ·. 3,210.",https://twitter.com/KridePrm/status/1754494188597731517,https://twitter.com › KridePrm › status,['larsentoubro']
98,Debjyoti Ghosh (@Debjyot06348431) / ...,"@larsentoubro. at Gogamukh, Dhemaji. Built at a cost of ₹3.4 cr, this centre will provide skilling and placement services to registered construction workers ...",https://twitter.com/debjyot06348431,https://twitter.com › debjyot06348431,['larsentoubro']
99,daikanyama,"Love & Trust are key words for our relationship and friendship. @larsentoubro. the bridge between the past and the future. When scale, skills ...",https://twitter.com/svane_freddy/status/1765399246034137324,https://twitter.com › svane_freddy › status,['larsentoubro']
